pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,CL083,5,False,False,False,False,False,False
AN_GNG_125,CB0958,2,False,False,False,False,False,False
AN_GNG_125,CB0958,3,False,False,False,False,False,False
AN_GNG_125,CB0958,4,False,False,False,False,False,False
AN_GNG_125,CB0958,5,False,False,False,False,False,False
AN_GNG_125,CB2330,2,False,False,False,False,False,False
AN_GNG_125,CB2330,3,False,False,False,False,False,False
AN_GNG_125,CB2330,4,False,False,False,False,False,False
AN_GNG_125,CB2330,5,False,False,False,False,False,False
AN_GNG_125,CB3280,2,False,False,False,False,False,False
AN_GNG_125,CB3280,3,False,False,False,False,False,False
AN_GNG_125,CB3280,4,False,False,False,False,False,False
AN_GNG_125,CB3280,5,False,False,False,False,False,False
AN_GNG_125,SAD080,2,False,False,False,False,False,False
AN_GNG_125,SAD080,3,False,False,False,False,False,False
AN_GNG_125,SAD080,4,False,False,False,False,False,False
AN_GNG_125,SAD080,5,False,False,False,False,False,False
AN_GNG_125,PVLP099,2,False,False,False,False,False,False
AN_GNG_125,PVLP099,3,False,False,False,False,False,False
AN_GNG_125,PVLP099,4,False,False,False,False,False,False
AN_GNG_125,PVLP099,5,False,False,False,False,False,False
AN_GNG_125,CB2517,2,False,False,False,False,False,False
AN_GNG_125,CB2517,3,False,False,False,False,False,False
AN_GNG_125,CB2517,4,False,False,False,False,False,False
AN_GNG_125,CB2517,5,False,False,False,False,False,False
AN_GNG_125,CB1879,2,False,False,False,False,False,False
AN_GNG_125,CB1879,3,False,False,False,False,False,False
AN_GNG_125,CB1879,4,False,False,False,False,False,False
AN_GNG_125,CB1879,5,False,False,False,False,False,False
AN_GNG_125,CB0225,2,False,False,False,False,False,False
AN_GNG_125,CB0225,3,False,False,False,False,False,False
AN_GNG_125,CB0225,4,False,False,False,False,False,False
AN_GNG_125,CB0225,5,False,False,False,False,False,False
AN_GNG_125,AN_AVLP_10,2,False,False,False,False,False,False
AN_GNG_125,AN_AVLP_10,3,False,False,False,False,False,False
AN_GNG_125,AN_AVLP_10,4,False,False,False,False,False,False
AN_GNG_125,AN_AVLP_10,5,False,False,False,False,False,False
AN_GNG_125,CB0858,2,False,False,False,False,False,False
AN_GNG_125,CB0858,3,False,False,False,False,False,False
AN_GNG_125,CB0858,4,False,False,False,False,False,False
AN_GNG_125,CB0858,5,False,False,False,False,False,False
PS182,CB2947,2,True,True,False,False,False,False
PS182,CB2947,3,True,True,False,False,False,False
PS182,CB2947,4,True,True,False,False,False,False
PS182,CB2947,5,True,True,True,False,False,False
PS182,MBON19,2,False,False,False,False,False,False
PS182,MBON19,3,True,True,False,False,False,False
PS182,MBON19,4,True,True,False,False,False,False
PS182,MBON19,5,True,True,True,False,False,False
PS182,SAD017,2,True,False,False,False,False,False
PS182,SAD017,3,True,True,False,False,False,False
PS182,SAD017,4,True,True,True,False,False,False
PS182,SAD017,5,True,True,True,False,False,False
PS182,CB0913,2,True,False,False,False,False,False
PS182,CB0913,3,True,True,False,False,False,False
PS182,CB0913,4,True,True,True,False,False,False
PS182,CB0913,5,True,True,True,False,False,False
PS182,CB3339,2,True,False,False,False,False,False
PS182,CB3339,3,True,True,False,False,False,False
PS182,CB3339,4,True,True,True,False,False,False
PS182,CB3339,5,True,True,True,False,False,False
PS182,AVLP187,2,True,False,False,False,False,False
PS182,AVLP187,3,True,True,False,False,False,False
PS182,AVLP187,4,True,True,True,False,False,False
PS182,AVLP187,5,True,True,True,False,False,False
PS182,CB0894,2,True,False,False,False,False,False
PS182,CB0894,3,True,True,False,False,False,False
PS182,CB0894,4,True,True,True,False,False,False
PS182,CB0894,5,True,True,True,False,False,False
PS182,CL352,2,True,True,False,False,False,False
PS182,CL352,3,True,True,False,False,False,False
PS182,CL352,4,True,True,True,False,False,False
PS182,CL352,5,True,True,True,False,False,False
PS182,PLP182,2,True,False,False,False,False,False
PS182,PLP182,3,True,True,False,False,False,False
PS182,PLP182,4,True,True,True,False,False,False
PS182,PLP182,5,True,True,True,False,False,False
PS182,CB0406,2,False,False,False,False,False,False
